# Energy_1	Intensity_1
7.890036014405761762e+02	1.268421680882752080e-04
7.890276110444177675e+02	1.272040323985980294e-04
7.890516206482593589e+02	1.275674775438900453e-04
7.890756302521008365e+02	1.279325128667803022e-04
7.890996398559424279e+02	1.282991477796766109e-04
7.891236494597839055e+02	1.286673917653967684e-04
7.891476590636254969e+02	1.290372543778062046e-04
7.891716686674669745e+02	1.294087452424620796e-04
7.891956782713085659e+02	1.297818740572650249e-04
7.892196878751500435e+02	1.301566505931174708e-04
7.892436974789916349e+02	1.305330846945888855e-04
7.892677070828331125e+02	1.309111862805881167e-04
7.892917166866747039e+02	1.312909653450434024e-04
7.893157262905161815e+02	1.316724319575894033e-04
7.893397358943577728e+02	1.320555962642611461e-04
7.893637454981992505e+02	1.324404684881963967e-04
7.893877551020408418e+02	1.328270589303451896e-04
7.894117647058823195e+02	1.332153779701865121e-04
7.894357743097239108e+02	1.336054360664536633e-04
7.894597839135653885e+02	1.339972437578669301e-04
7.894837935174069798e+02	1.343908116638744502e-04
7.895078031212484575e+02	1.347861504854006368e-04
7.895318127250900488e+02	1.351832710056037644e-04
7.895558223289315265e+02	1.355821840906409827e-04
7.895798319327731178e+02	1.359829006904417854e-04
7.896038415366145955e+02	1.363854318394903172e-04
7.896278511404561868e+02	1.367897886576162174e-04
7.896518607442976645e+02	1.371959823507939481e-04
7.896758703481392558e+02	1.376040242119506063e-04
7.896998799519808472e+02	1.380139256217836560e-04
7.897238895558223248e+02	1.384256980495870363e-04
7.897478991596639162e+02	1.388393530540858614e-04
7.897719087635053938e+02	1.392549022842815563e-04
7.897959183673469852e+02	1.396723574803058554e-04
7.898199279711884628e+02	1.400917304742838011e-04
7.898439375750300542e+02	1.405130331912070405e-04
7.898679471788715318e+02	1.409362776498169090e-04
7.898919567827131232e+02	1.413614759634967283e-04
7.899159663865546008e+02	1.417886403411745128e-04
7.899399759903961922e+02	1.422177830882361395e-04
7.899639855942376698e+02	1.426489166074480580e-04
7.899879951980792612e+02	1.430820533998907883e-04
7.900120048019207388e+02	1.435172060659030174e-04
7.900360144057623302e+02	1.439543873060363747e-04
7.900600240096038078e+02	1.443936099220204257e-04
7.900840336134453992e+02	1.448348868177394035e-04
7.901080432172868768e+02	1.452782310002196991e-04
7.901320528211284682e+02	1.457236555806283042e-04
7.901560624249699458e+02	1.461711737752828804e-04
7.901800720288115372e+02	1.466207989066738637e-04
7.902040816326530148e+02	1.470725444044969777e-04
7.902280912364946062e+02	1.475264238066988922e-04
7.902521008403360838e+02	1.479824507605338052e-04
7.902761104441776752e+02	1.484406390236333608e-04
7.903001200480191528e+02	1.489010024650875175e-04
7.903241296518607442e+02	1.493635550665385354e-04
7.903481392557023355e+02	1.498283109232881631e-04
7.903721488595438132e+02	1.502952842454168870e-04
7.903961584633854045e+02	1.507644893589154861e-04
7.904201680672268822e+02	1.512359407068319278e-04
7.904441776710684735e+02	1.517096528504292960e-04
7.904681872749099512e+02	1.521856404703580848e-04
7.904921968787515425e+02	1.526639183678429391e-04
7.905162064825930202e+02	1.531445014658818903e-04
7.905402160864346115e+02	1.536274048104605547e-04
7.905642256902760892e+02	1.541126435717802634e-04
7.905882352941176805e+02	1.546002330455007747e-04
7.906122448979591582e+02	1.550901886539974878e-04
7.906362545018007495e+02	1.555825259476328870e-04
7.906602641056422272e+02	1.560772606060449260e-04
7.906842737094838185e+02	1.565744084394482332e-04
7.907082833133252961e+02	1.570739853899520136e-04
7.907322929171668875e+02	1.575760075328938342e-04
7.907563025210083651e+02	1.580804910781889142e-04
7.907803121248499565e+02	1.585874523716948093e-04
7.908043217286914341e+02	1.590969078965937162e-04
7.908283313325330255e+02	1.596088742747902255e-04
7.908523409363745031e+02	1.601233682683268289e-04
7.908763505402160945e+02	1.606404067808149040e-04
7.909003601440575721e+02	1.611600068588845086e-04
7.909243697478991635e+02	1.616821856936509277e-04
7.909483793517406411e+02	1.622069606221985931e-04
7.909723889555822325e+02	1.627343491290833815e-04
7.909963985594238238e+02	1.632643688478536146e-04
7.910204081632653015e+02	1.637970375625879182e-04
7.910444177671068928e+02	1.643323732094534653e-04
7.910684273709483705e+02	1.648703938782824325e-04
7.910924369747899618e+02	1.654111178141678647e-04
7.911164465786314395e+02	1.659545634190782960e-04
7.911404561824730308e+02	1.665007492534936208e-04
7.911644657863145085e+02	1.670496940380598579e-04
7.911884753901560998e+02	1.676014166552644861e-04
7.912124849939975775e+02	1.681559361511325709e-04
7.912364945978391688e+02	1.687132717369440856e-04
7.912605042016806465e+02	1.692734427909717255e-04
7.912845138055222378e+02	1.698364688602408930e-04
7.913085234093637155e+02	1.704023696623110961e-04
7.913325330132053068e+02	1.709711650870801146e-04
7.913565426170467845e+02	1.715428751986095262e-04
7.913805522208883758e+02	1.721175202369738127e-04
7.914045618247298535e+02	1.726951206201331841e-04
